# RC100 Table 3: Galaxy best-fit parameters and characteristics
# Source: Nestor Shachar et al. (2023), ApJ 944, 78 (arXiv:2209.12199)
# Transcribed from rasterized PDF table (pages 27-29) — verify critical values against original paper
# Columns: num, Galaxy, z, FWHM_arcsec, T_int_hrs, delta_log_SFR, log_Mstar, log_Mbaryon, e_log_Mbaryon, log_Mbulge, e_log_Mbulge, Re_kpc, e_Re_kpc, fDM, e_fDM, Vc_kms, e_Vc_kms, sigma0_kms, e_sigma0_kms, log_Mvir_SMHM, log_SigSFR, log_SigDM, e_log_SigDM
num,Galaxy,z,FWHM_arcsec,T_int_hrs,delta_log_SFR,log_Mstar,log_Mbaryon,e_log_Mbaryon,log_Mbulge,e_log_Mbulge,Re_kpc,e_Re_kpc,fDM,e_fDM,Vc_kms,e_Vc_kms,sigma0_kms,e_sigma0_kms,log_Mvir_SMHM,log_SigSFR,log_SigDM,e_log_SigDM
32,EGS 13035123,1.12,0.66,56.0,0.31,11.18,11.18,0.14,10.48,0.23,7.29,1.15,0.04,0.06,284,57,54,6,11.95,1.18,7.78,0.93
33,EGS 13004291,1.20,0.51,38.0,1.25,10.97,11.08,0.11,10.48,0.19,4.81,1.11,0.05,0.08,321,64,29,9,12.71,0.26,7.83,0.96
34,EGS 13003805,1.23,0.62,20.0,0.56,11.23,11.12,0.08,10.81,0.12,5.02,1.22,0.52,0.12,208,42,38,5,11.95,-0.91,8.36,0.53
35,GS4 30432,1.31,0.55,12.0,-0.21,10.70,10.72,0.19,10.37,0.27,5.59,1.26,0.46,0.23,193,39,26,15,11.86,-0.08,8.35,0.74
36,GS4 14356,1.36,0.65,2.0,0.41,10.57,11.16,0.16,10.37,0.27,5.11,1.28,0.35,0.14,314,63,57,12,12.24,-0.02,8.70,0.70
37,EGS4 38153,1.36,0.60,30.0,0.25,10.44,11.06,0.17,10.44,0.25,7.21,1.55,0.46,0.15,271,54,68,9,12.22,-0.26,8.54,0.66
38,GS4 27441,1.38,0.54,13.8,0.35,10.82,11.03,0.10,10.59,0.15,5.67,1.49,0.31,0.12,288,58,41,11,12.25,0.17,8.62,0.58
39,EGS4 24985,1.40,0.85,80.0,0.37,10.90,10.83,0.13,10.11,0.23,6.37,1.42,0.14,0.10,168,34,20,8,11.98,-0.48,7.68,0.82
40,U4 27256,1.42,0.62,5.4,0.12,10.49,10.61,0.15,10.31,0.17,6.17,1.44,0.40,0.18,181,36,57,7,11.82,-0.26,8.20,0.73
41,U4 32570,1.42,0.61,20.0,0.58,10.89,10.81,0.14,10.62,0.15,8.01,1.66,0.55,0.13,252,50,89,8,11.96,-0.07,8.51,0.60
42,U4 28358,1.42,0.49,13.0,0.26,10.96,10.98,0.11,10.61,0.15,3.14,1.23,0.15,0.11,294,59,74,7,12.24,0.41,8.49,1.03
43,zC 403741,1.45,0.35,6.0,0.3,10.65,10.55,0.06,10.39,0.09,3.01,0.98,0.08,0.10,180,36,66,5,11.82,0.32,7.81,1.05
44,U4 33383,1.48,0.59,7.0,0.33,9.83,10.05,0.12,9.66,0.16,4.98,1.34,0.28,0.17,92,18,48,4,11.44,-0.53,7.55,0.75
45,COS4 10048,1.50,0.45,7.45,0.06,10.34,10.56,0.12,10.04,0.18,7.48,1.41,0.47,0.11,160,32,46,5,11.77,-0.73,8.08,0.51
46,D3a 6397,1.50,0.29,11.0,0.53,11.08,11.24,0.06,11.05,0.09,6.54,1.27,0.13,0.10,225,45,60,5,12.43,0.20,7.89,0.74
47,U4 31577,1.52,0.59,8.3,0.72,11.07,11.06,0.10,10.56,0.16,6.49,1.48,0.53,0.09,347,69,129,8,12.18,0.40,8.87,0.51
48,U4 35796,1.53,0.58,8.3,0.45,10.81,11.12,0.08,10.81,0.12,5.02,1.22,0.20,0.10,294,59,22,7,12.58,0.03,8.41,0.80
49,COS4 13890,1.53,0.52,7.8,0.11,11.33,11.44,0.07,11.18,0.11,7.19,1.75,0.34,0.08,412,82,41,5,12.76,-0.08,8.77,0.51
50,EGS 13011166,1.53,0.75,15.0,0.74,11.08,11.25,0.08,10.99,0.11,6.89,1.33,0.12,0.14,225,45,29,10,12.29,-0.10,7.77,1.02
51,COS4 24012,1.53,0.59,10.0,0.42,10.25,10.48,0.10,10.26,0.12,4.81,1.11,0.34,0.08,320,64,53,7,12.22,0.40,8.47,0.56
52,COS4 17808,1.59,0.58,7.1,0.28,10.72,10.88,0.06,10.73,0.08,4.46,1.55,0.19,0.12,139,28,42,6,11.67,-0.04,7.75,0.88
53,GK 2540,1.61,0.35,12.0,-0.04,10.28,10.52,0.06,10.45,0.14,4.46,1.55,0.27,0.18,155,31,21,5,11.8,0.04,8.26,0.93
54,GS4 43501,1.61,0.55,22.0,0.07,10.61,10.89,0.06,10.29,0.18,4.88,1.14,0.27,0.12,226,45,26,9,11.94,0.17,7.94,0.92
55,GS4 14152,1.62,0.55,11.65,0.13,11.30,11.52,0.09,10.88,0.16,6.93,1.26,0.56,0.20,206,41,82,6,11.85,0.28,8.37,0.64
56,GS4 16814,1.62,0.55,6.0,0.52,11.19,11.19,0.06,10.73,0.08,5.00,1.39,0.06,0.06,227,45,47,7,12.07,0.58,7.63,0.86
57,U4 34480,1.65,0.53,20.0,0.29,10.18,10.25,0.12,9.55,0.24,1.57,0.62,0.27,0.12,193,39,29,6,11.57,0.80,8.68,0.62
58,COS4 05606,1.66,0.62,7.8,0.59,9.90,10.63,0.16,10.33,0.18,4.29,1.39,0.35,0.12,205,41,36,9,11.70,-0.01,8.40,0.79
59,U4 19708,1.66,0.52,7.0,0.29,11.26,11.52,0.09,10.88,0.16,6.93,1.26,0.32,0.10,210,44,34,4,12.06,0.29,8.28,0.51
60,GS3 15675,2.00,0.55,14.9,0.56,10.89,10.76,0.17,9.76,0.25,7.39,1.35,0.56,0.20,197,39,94,8,11.78,0.19,8.47,0.96
61,zC 412369,2.02,0.45,6.0,0.29,10.34,10.91,0.13,10.39,0.13,4.38,1.31,0.45,0.21,197,39,24,8,12.02,-0.29,8.41,0.56
62,K20 ID9,2.04,0.45,6.0,0.03,10.65,10.81,0.11,10.51,0.14,5.19,1.46,0.45,0.15,234,47,24,8,12.02,-0.29,8.41,0.56
63,COS4 10347,2.06,0.44,14.9,0.20,10.76,10.91,0.13,10.39,0.13,7.11,1.40,0.40,0.15,234,47,24,8,12.04,-0.15,8.44,0.54
64,COS4 13174,2.10,0.46,18.8,0.15,11.03,11.28,0.07,10.93,0.10,6.99,0.94,0.31,0.09,240,48,40,8,12.04,-0.15,8.44,0.54
65,GS4 01529,2.12,0.63,8.9,0.95,10.55,10.97,0.07,10.93,0.15,5.94,1.18,0.14,0.09,350,70,40,8,12.38,0.05,8.10,0.69
66,CDFS 2954,2.13,0.35,6.0,0.15,10.60,10.97,0.20,10.45,0.79,4.50,1.06,0.11,0.10,313,61,64,10,12.11,1.01,8.24,1.04
67,zC 405501,2.15,0.30,7.8,0.60,9.92,10.68,0.14,9.59,0.27,7.13,1.03,0.55,0.21,324,65,114,9,12.05,0.28,9.00,0.79
68,COS4 08775,2.16,0.47,10.8,-0.30,10.35,10.46,0.14,9.53,0.32,4.24,1.37,0.21,0.14,89,18,61,4,11.72,-0.42,7.23,0.60
69,COS4 05094,2.17,0.49,10.7,0.01,10.40,10.77,0.12,10.55,0.14,4.95,1.05,0.17,0.17,129,26,48,5,11.75,-0.32,7.70,0.97
70,SSA22 MD41,2.17,0.55,7.0,0.60,9.86,10.46,0.32,9.15,0.52,7.61,1.31,0.30,0.08,223,45,50,7,11.91,-0.09,8.34,0.84
71,BX389,2.17,0.45,9.0,0.10,10.60,10.51,0.18,10.52,0.22,6.95,1.01,0.74,0.20,190,38,73,6,11.51,-0.15,8.42,0.49
